Pie Bombs	Three jet black spheres, about the size of an apple, that smell distinctly of cooked pastry. 
Bale of Furs	A large bale of rare furs.
Dehydrated Homunculi	A dried out and preserved homunculus. This one is a winged humanoid creature, similar to a small gargoyles or tiny demon. It's eye have been replaced with beads and it is stiff and unmoving.
Draining Dagger	A simple silver dagger with a blood line that runs down the center of the blade to drain its victim's blood.
Malachite Bracelet	A thin malachite bracelet with a silver clasp.
Bookstand	A 5 ft. tall book stand in maple-wood, the front of which is carved into the likeness of three intertwined foxes. 
Bountiful Spade	
Dire Barnacle	Three vicious little mollusks (1hp, Armour 1) that explode in a 2m blast (d8) when killed. 
Firestone Gem	This gem normally looks like quartz, but if allowed to absorb heat will change in color to resemble a bright orange garnet. When smashed against something, it is drained of color and will light that thing on fire
Mysterious Ivory Figurine	An age-worn ivory figurine, which, nonetheless, bears an uncanny resemblance to a young woman the characters have just met.
Nymph Statuette	A foot-high bronze statuette of a pair of entwined nymphs, dancing.
Old Boot	An old boot filled with chunks/flakes of silver-bearing quartz ore.
Ornate Axe Head	An unhafted axe head of exceptional craftsmanship. It's faces are inlaid with a faience scene showing a crowd of human villagers throwing a Halfling down a well.
Ornate Smoking Pipe	An ivory and copper smoking pipe with stale tobacco inside.
Ornate Wooden Leg	A wooden leg, carved to appear as a standing leopard with green agate eyes. (Agates: 4gp each; the whole leg, with eyes: 10gp)
Phoenix Egg	"Phoenix Egg" from a peddler in the City of Brass. After consulting with a few scholars, he later found that (at least in my world lore) Phoenixes are born of primal energy and not hatched, and that he had in fact purchased a very large jar of Alchemist's Fire.
Piglet	A piglet.
Poison Dagger	Refillable curved poison dagger
Poisoned Throwing Needles	Pouch of poisoned throwing needles (see dagger damage & dart range)
"The Art of Potionmaking" by Zygmunt Brigge	A large, leather-bound tome has a large illustrated potion vial stitched into the front cover. Above the illustration, written in Dwarven is the title; "The Art of Potionmaking". Further examination reveals this to be a comprehensive guide to potionmaking written by a Dwarf called Zygmunt Brigge.
Agni Mani Necklace	A necklace patterened with Agni Mani. These ornamental stones were usually found in desert regions. In the Realms, the name applies specifically only to black tektite material. 
Among the Kobolds	A detailed account of an adventurer who lived in an Kobold tribe for a number of years. You get a sense that there may have been some embellishment at some points, but it is otherwise an interesting examination of their general nature.
Ancient Tome	A tome whose pages have been yellowed with age and used to press metallic leaves of gold, silver, platinum, brass, copper, and bronze.
Aquamarine Necklace	A thick copper necklace set with a small aquamarine. 
Bedroll	A sheepskin bedroll.
Bloodstone	This dark red-brown heliotrope can sometimes be mistaken for a Stone of Invisibility but this one bears no overt magical powers.
Bonesaw	The bonesaw was used to amputate body parts after the skin had already been cut through with the amputation knife.
Brandistock	"This peculiar spear-like weapon is popular among travelers and law enforcement. The brandistock's three-pronged head is retractable, which renders it indistinguishable from a quarterstaff (unless closely inspected). Extending the blades is instantaneous, but pulling them back requires you to spend an action.
Brass Chamber Pot	A brass chamber pot in which has been hidden 3 pieces of rosy quartz.
Brass Knuckles	A set of brass knuckles. Used, but in good condition.
Bronze Tower Shield	A tower shield of bronze, cast into the likeness of a chimera's heads and enameled to provide the appropriate colors. +3 AC, Strength 17, Stealth Disadvantage.
Carnelian Gemstone	This is an opaque orange gemstone set in a small brooch.
Carthus Tome of Pyromancy	An old pyromancy tome from Carthus containing pyromancies crafted for battle. It gives the impression it might have fallen through from a different plane of existence.
Carved Wooden Mantle	A carved wooden mantle, meant to be mounted above a fireplace, crafted of ash-wood and stained a medium brown. The left side is carved in images of demons and flames, the right in images of angels and air. The top is carved into an idyllic forest theme and has a moon above the left corner and a sun above the right.
Cat Pendant	An electrum pendant shaped like a curled-up cat.
Cestus	A reinforced gauntlet which protects the knuckles and transforms mere punches into lethal blows. This weapon cannot be disarmed. It takes an action to don or doff a cestus.
Chalcedony Gemstone	"This pale white gemstone has a waxy luster and is slightly translucent. 
Chicken Eggs	A dozen chicken eggs; hollowed out and filled with white flour.
Child's Mittens and Hat	Rabbit-fur mittens and hat sized for a child.
Chrysoprase Gemstone	An apple-green gemstone consisting of a variety of chalcedony that contains nickel.
Citrine Gemstone	This golden gem has been expertly worked into an oval but has long since fallen out of whatever ring or brooch it was carved for.
Classy Shirt	A leather bag containing an embroidered black silk shirt with eight silver buttons.
Climbing Harness	A leather vest with climbing gear: 12 iron pitons, a hammer, 50' of silk rope, a grappling hook, a set of bronze crampons, thick leather gloves, and a leather harness seat..
Cloak of Griffon Feathers	A cloak of griffon feathers set on black velvet.
Cloth Doll	A child's cloth doll with a small silver brooch pinned to it in the shape of a butterfly.
Clothier's Dye	A small cask of yellow clothiers' dye.
Cockatrice Statue	A life-sized copper and silver statuette of a cockatrice.
